,type,,
"Will reach hotel 1 day before, can you do anything.",5,,
can I reach hotel before 5 hours.,5,,
"My flight is delayed, I will check out after 4 hours.",6,,
"Sona,recommend me some food item.",7,,
"Hey sona, recommend me some food.",7,,
"Sona, I am feeling hungry, recommend me some food.",7,,
"Sona, quench my thirst",7,,
"Sona, tell me some tasty food",7,,
Sona can you recommend me some drinks,7,,
recommend me some cold drink,7,,
"I am feeling thirsty, recommend me vegetarian food",7,,
"I am feeling thirsty, recommend me non veg",7,,
Bedsheet is very untidy,8,,
Room is not clean,8,,
Room is in very bad state,8,,
Room cleaning is good,8,,
I like room service,8,,
Bathroom tap is not working,8,,
tiles in bathroom are very dirty,8,,
Table is missing in room,8,,
Bed is broken,8,,
Walls have cracks,8,,
room is very dirty,8,,
towel in bathroom is not clean,8,,
towel in bathroom is smelling,8,,
bathroom is not Clean,8,,
Keep my swimming pool ready,9,,
"Please change my bedsheet, it is not in good condition",8,,
Hello sona,1,,
Hi ji,1,,
namaste sona,1,,
Bonjour sona,1,,
ok sona,1,,
Hola sona,1,,
Swasdi sona,1,,
Salve sona,1,,
I want to eat rice,2,,
I want to eat dal with rice,2,,
I wan to eat chicken curry with jeera rice,2,,
Hey sona,1,,
yo sona,1,,
namaste sona ji,1,,
sona recommend me some food,7,,
sona recommend me some drinks,7,,
room is not in good condition,8,,
room smells bad,8,,
room is very untidy,8,,
lights of room are not working,8,,
tv in my room is broken,8,,
tv in my room is not working,8,,
i want to have paneer 65,2,,
I want paneer 65 with chicken 65,2,,
the neighbours are disturbing,8,,
"my train is late by 5 hours, can I stay for long?",6,,
"my train is late by 4 hours, can I stay for long?",6,,
"my train is late by 3 hours, can I stay for long?",6,,
"my train is late by 6 hours, can I stay for long?",6,,
"my ship is delayed by 5 hours, can I stay for long?",6,,
"my ship is delayed by 2 hours, can I stay for long?",6,,
"my ship is delayed by 15 hours, can I stay for long?",6,,
"my ship is delayed by 3 hours, can I stay for long?",6,,
"my train is reaching early by 5 hours, can I come early?",5,,
"my train is reaching early by 4 hours, can I come early?",5,,
"my train is reaching early by 3 hours, can I come early?",5,,
"my train is reaching early by 2 hours, can I come early?",5,,
"my ship is reaching early by 5 hours, can I come early?",5,,
"my ship is reaching early by 4 hours, can I come early?",5,,
"my ship is reaching early by 3 hours, can I come early?",5,,
"my ship is reaching early by 2 hours, can I come early?",5,,
"my ship is reaching early by 6 hours, can I come early?",5,,
hey,1,,
hello,1,,
"hey, how are you",1,,
yo,1,,
wassup,1,,
namaste,1,,
I want to eat chicken,2,,
i want to eat paneer,2,,
i want to eat mushroom,2,,
i want to eat rice,2,,
i want to eat gobhi,2,,
recommend me something with gobhi,7,,
recommend me something with paneer,7,,
recommend me something with chicken,7,,
recommend me something with mushroom,7,,
recommend me something with rice,7,,
recommend me something with roti,7,,
recommend me french food,4,,
recommend me some chinese food,4,,
recommend me some british food,4,,
recommend me some american food,4,,
recommend me some caribbean food,4,,
recommend me some greek food,4,,
recommend me something with greek food,7,,
recommend me something with chinese food,7,,
recommend me something with american food,7,,
recommend me something with caribbean food,7,,
recommend me something with british food,7,,
recommend me something with french food,7,,
recommend me some indian food,4,,
recommend me some italian food,4,,
recommend me some japanese food,4,,
recommend me some mediterranean food,4,,
recommend me some mexican food,4,,
recommend me some morroccan food,4,,
recommend me some spanish food,4,,
recommend me some thai food,4,,
recommend me some turkish food,4,,
recommend me some vietnamese food,4,,
recommend me something with spanish food,7,,
recommend me something with thai food,7,,
recommend me something with turkish food,7,,
recommend me something with vietnamese food,7,,
recommend me something with indian food,7,,
recommend me something with italian food,7,,
recommend me something with egg bhurji,7,,
recommend me something with chilly egg,7,,
recommend me something with phulka,7,,
recommend me something with fish biryani,7,,
I want to eat boiled egg,2,,
i want to eat chicken kabab,2,,
i want to try mutton pepper fry,2,,
i want to try curd rice,2,,
how about fish curry with 3 chapati,2,,
i want to eat nati chicken with butter phulka,2,,
i want paneer 65 with ghee rice,2,,
i want to eat aloo dum biryani,2,,
recommend me some veg biryani,7,,
recommend me beverages,7,,
recommend me non veg curries,7,,
recommend me some veg curries,7,,
recommend me roti,7,,
recommend me non veg biryani,7,,
recommend me egg,7,,
recommend me some sea food starter,7,,
recommend me non veg starter,7,,
recommend me veg starter,7,,
floor of my room is very dirty,8,,
i want to drink butter milk,2,,
i want to drink fresh lime soda,2,,
Hello!! How are you,1,,
 Hello.,1,,
 Hi,1,,
How are you?,1,,
Good Morning,1,,
"hey, how are you?",1,,
Is everything is fine?,1,,
hey,1,,
How’s it going?,1,,
How are you doing?,1,,
What’s up?,1,,
Good afternoon,1,,
Good evening,1,,
How do you do?,1,,
Yo!,1,,
How’s everything ?,1,,
What’s going on?,1,,
Nice to be see you,1,,
"hey, what all do you have",1,,
"hello, it's nice to be here",1,,
"hey, how's it going",1,,
i would like to order paneer 65,2,,
i would like to order chilly potato,2,,
i would like to order golden baby corn,2,,
 baby corn chilly is what I'll have,2,,
 chilly gobi is what I want,2,,
get me mushroom 65,2,,
get me chilly mushroom,2,,
get me chilly chicken,2,,
do you have chicken 65,2,,
can i have meghana chicken,2,,
can i have lemon chicken,2,,
can i have chicken kabab,2,,
I want chicken lollypop,2,,
I want chicken pakoda,2,,
I want pepper chicken,2,,
bring me chicken fry,2,,
bring me chicken maharaja,2,,
bring me mutton pepper fry,2,,
chilly fish would be my choice,2,,
appollo fish and chapati,2,,
i would like to order taste chilly prawns,2,,
i would like to order taste prawns fry,2,,
i would like to order taste egg bhurji,2,,
can i have boiled egg,2,,
i would like to order egg omlet,2,,
can i have chilly egg,2,,
honey potato will do good,2,,
what are your special dishes?,3,,
get me the best dishes,3,,
whats the best you got?,3,,
bring me the most delicious dishes,3,,
what are you most known for?,3,,
What do people admire this place most for?,3,,
What is your speciality?,3,,
Whats this place famous for?,3,,
what do you think you make best?,3,,
Tell me the most  delicious thing you have,3,,
what's the speciality of this place?,3,,
the fans are dirty,8,,
ac is not working properly,8,,
the room is untidy ,8,,
bed is not in proper condition,8,,
lights are not working properly,8,,
the room service doesn't pick up the call,8,,
the carpet is torn,8,,
the room smells bad,8,,
bathroom is dirty,8,,
bathroom is very unhygenic,8,,
the bedsheets are dirty,8,,
there are not enough pillows,8,,
the furniture is broken,8,,
the room lock is not working properly,8,,
fan makes a lot of sound,8,,
blanket is unwashed,8,,
i want new bedsheets,8,,
send the cleanliness guy to my room,8,,
can you get these curtains washed for me,8,,
the almirah is not clean,8,,
take my clothes for laundry,8,,
fan is slow and doesn't operate properly,8,,
I would like to request for an early check-in before I pay for the room.,5,,
Can i check in before the scheduled time,5,,
I would have to check in early than decided,5,,
please allow me an early check in for my stay,5,,
can you arrange an early check in for me,5,,
can i shift my check in to a time in advance to the decided time,5,,
I would like you to allow to check in before the decided schedule,5,,
can I check in early at the hotel?,5,,
is it possible for me to check in early?,5,,
i need to check in due to some reasons,5,,
can you please allow me to check in early,5,,
Can the check in timing be flexible,5,,
I hope you dont mind if I check in early!,5,,
I would like to request for an later checkout due to some reasons.,6,,
Can i check out after the scheduled time,6,,
I would have to check out later than decided,6,,
please allow me an delayed check out for my stay,6,,
can you arrange a later check out for me,6,,
can i shift my check out time to a later time in future,6,,
I would like you to allow to check out after the decided schedule,6,,
can I check out late the hotel?,6,,
Can the check out timing be flexible,6,,
I want to increase my stay here,6,,
i want to spend some more time in this hotel,6,,
I wish to stay here for longer,6,,
Is it possible to increase my stay here?,6,,
i would like to have a longer stay,6,,
bring me something in chinese,4,,
do you have italian,4,,
keep the food less spicy,4,,
I desire to eat something sweet,4,,
"I love indian, get me something good",4,,
bring South Indian food for me,4,,
thai food would be great,4,,
I want to eat Mexican food,4,,
Give me something which is not too spicy,4,,
what all do you have in sweets,4,,
"I love spicy food, can you bring something for me",4,,
I feel like eating Japanese food,4,,
the food should be spicy,4,,
I'll have Vietnamese food,4,,
keep the sweetest at a moderate level,4,,
can I have more pepper in my food,4,,
I want some sour juices,4,,
the sugar content in the sweet should not be high,4,,
bring me anything which it sweet,4,,
anything with low pepper,4,,
can I get something spicy,4,,
give me Japanese sweets,4,,
do you have spicy in Chinese? ,4,,
I'll have spicy mexican dish,4,,
would be bring me South Indian sweets? ,4,,
decorate my room with flowers,9,,
I want white towels with white bathtub,9,,
keep the lights low in my room with some soothing music,9,,
I want no one to disturb me,9,,
the bathroom should have both Indian and western pots,9,,
the floor should have a carpet on it,9,,
can I have someone for a foot massage,9,,
can you bring yoga carpet,9,,
I want you to change the curtains,9,,
the bedsheet should not be white,9,,
the room must have a balcony,9,,
I want 50 balloons in my room,9,,
Cover the floor of the room with flowers,9,,
The room should be painted in purple,9,,
the room should have a balcony,9,,
the cupboard should be tidy before I check in,9,,
the pot is dirty,8,,
the towels smell,8,,
the glass of the table is broken,8,,
The bed is uncomfortable,8,,
The mattress makes a lot of sound,8,,
the sofa has a loose spring,8,,
there is no handwash in bathroom,8,,
the mirror in the room are not clean,8,,
change the bedsheets,8,,
Ac is not working properly,8,,
the lock doesn't work,8,,
I cannot close the bathroom door,8,,
What should I have in sweets,7,,
will naam go good with paneer 65,7,,
what do people generally take with fish,7,,
Should I take something else with egg curry for flavour? ,7,,
I might not be able to check out on time,6,,
may departure might get postponed,6,,
can I prepone my check in,5,,
would I have to pay extra for an early check in,5,,
would late check out cost extra,6,,
how much do you cost for late check out,6,,
how much do you cost for an early check in,5,,
would an early check in cost extra,5,,
I want some paintings on the wall,9,,
There should be novels in my room before I get there,9,,
There should be 5 cushions in my bed,9,,
I don't want a TV in my room,9,,
bring me curd rice,2,,
I want jeera rice in dinner,2,,
nothing but plane rice with paneer 65,2,,
I want to try ghee rice,2,,
paneer biryani would be nice,2,,
aloo dum biryani would be great,2,,
fish curry with place rice,2,,
fish curry with ghee rice,2,,
mutton curry and butter phulka,2,,
mutton curry and jeera rice,2,,
"mutton curry, butter naan and place rice",2,,
order chicken curry and ghee rice for me,2,,
recommend me something with mutton curry,7,,
recommend me something with fish curry,7,,
recommend me something with chicken curry,7,,
please repair the shower,8,,
change the buckets,8,,
the bathroom floor is not clean,8,,
the pot stinks,8,,
i want you to bring european food for me,4,,
the neighbours are disturbing,8,,
Get me something spicy in chinese,4,,
can you treat me with your best dishes,3,,
"Can you please shift me in some other room, I've an issue with the bed here",8,,
"Hi,I want to order food",1,,
"Hi,I want to order some food",1,,
"Hey,I want some food",1,,
"Hey,I want to order food",1,,
Hi,1,,
Hey,1,,
"Good Morning,I want to order food",1,,
What's up?,1,,
Good Morning,1,,
What's up?,1,,
 How you doing?,1,,
can you order noodles for me,2,,
i want to order an indian thali,2,,
Please order chicken butter masala,2,,
I want to order Paw Bhaji,2,,
What special  dishes I can order,3,,
Can you recommend me some good food,3,,
I want to order some of your special dish,3,,
Recommend me your special dishes,3,,
I want to order Chole Bhature,2,,
order coke for me,2,,
I want to order sprite,2,,
Washing machine is not working,8,,
Washing machine is not in a good condition,8,,
Place does not smells good,8,,
Room is not clean,8,,
Beedshets are not clean,8,,
i need new pillow covers,8,,
light is not working,8,,
Washroom is not clean,8,,
Tap is not  working,8,,
Sofa covers are not clean,8,,
Rooms is not hygenic,8,,
I want extra towels,9,,
I need extra soaps,9,,
i want to give my clothes to the laundary,9,,
due to some unavoided reasons I want to checkout a bit late,9,,
i want an extra bedsheet,9,,
Can you recommend me some food,4,,
I need some recommendations for cocktails,4,,
I need some recommendations for mocktails,4,,
Can you recommend me some beverages,4,,
i want to order some chinese food,7,,
I want to order Indian food,7,,
I want to order Mexican food,7,,
What is special in Italian cuisine,7,,
What is special in Indian cuisine,7,,
What is special in Chinese cuisine,7,,
Recommend me Chinese food,7,,
Recommend me Indian food,7,,
Recommend me Mexican food,7,,
Hey sona,1,,
I want to prepone my arrival,5,,
I will come 1 hour early than my scheduled time,5,,
I will be a bit early than my scheduled time,5,,
Can you please schedule my arrival a bit early,5,,
Is it okay if i arrive a bit early,5,,
I want to order veg biryani,2,,
I want to order chicken biryani,2,,
I want to order mutton biryani,2,,
Is biryani available,2,,
due to some unavoided reasons I want to checkout a bit late,6,,
Is it okay if i leave a bit late,6,,
Can I postpone my check out,6,,
Towels are not clean,8,,
washroom does not smells good,8,,
Bathroom is not clean,8,,
I want some shampoos,9,,
I want an electric Kettle,9,,
can i have boiled water,9,,
I need  some drinking water,9,,
I want new curtains for my room,9,,
The room smells awful,8,,
recommend me some breads,7,,
order butter naan for me,2,,
order garlic naan for me,2,,
order garlic tandoori roti for me,2,,
i want to order rumali roti,2,,
i want to order tandoori roti,2,,
Can you recommend me some panner,7,,
Can you recommend me some spicy food,7,,
What are good beverages of this place,3,,
Recommend me good deserts ,7,,
recommend me some ice creams,7,,
order mineral water for me,2,,
order mineral fresh lime soda for me,2,,
i want to order butter milk,2,,
i want to order chicken fried rice,2,,
i want to order aloo dum,2,,
i want to order veg fried rice,2,,
i want to order curd rice,2,,
i want to order fish curry,2,,
i want to order dal fry,2,,
i want to order tomato curry,2,,
i want to order mutton curry,2,,
i want to order prawns,2,,
i want to order eggs,2,,
i want to order egg curry,2,,
can you order phulka,2,,
can you order mushroom masala,2,,
can you order butter phulka,2,,
can you order boneless chicken,2,,
can you order brownies,2,,
can you order chilly fish,2,,
Order chilly prawn,2,,
Order prawn fry,2,,
Order chilly chicken,2,,
Order mutton fry,2,,
Order baby corn,2,,
Order paneer chilly,5,,
i want to check in early,5,,
is it possible to check in early,5,,
can i check in early,5,,
please reschedule my check in early,5,,
i want to move in a bit early,5,,
is it okay if i move in a bit early,5,,
is it ok if i move in a bit early,5,,
i will come a bit early to the hotel,5,,
I will leave the hotel a bit late,6,,
is it ok if i leave a bit late,6,,
i want to leave a  bit late,6,,
reschedule my check out a bit late,6,,
I will leave the hotel a bit late,6,,
What is there in American cuisine,4,,
What is there in British cuisine,4,,
What is there in Caribbean cuisine,4,,
What is there in Chinese cuisine,4,,
What is there in French cuisine,4,,
What is there in Greek cuisine,4,,
What is there in Indian cuisine,4,,
What is there in Italian cuisine,4,,
What is there in Japenese cuisine,4,,
What is there in Mediterranean cuisine,4,,
What is there in Mexican cuisine,4,,
What is there in Spanish cuisine,4,,
I want to order something from Thai cuisine,4,,
I want to order something from Turkish cuisine,4,,
I want to order something from Vietnamese cuisine,4,,
I want to have Polish cuisine,4,,
I want to have Rajasthani cuisine,4,,
I want to have Pakistani cuisine,4,,
I want to have Danish cuisine,4,,
I want to have Pesian cuisine,4,,
I want to have Portugese cuisine,4,,
I want to have French cuisine,4,,
I want to have Russian cuisine,4,,
I want to have Serbian cuisine,4,,
I want to have Sami cuisine,4,,
I want to have Mughal cuisine,4,,
I want to have Arab cuisine,4,,
I want to have Bulgarian cuisine,4,,
I want to have Estonian cuisine,4,,
I want to have Georgian cuisine,4,,
I want to have Andhara cuisine,4,,
Can you make my check in early,5,,
Can you make my check out late,6,,
The fan is not working,8,,
Fans are making noises,8,,
A/C is not cooling properly,8,,
A/C is not clean,8,,
Fans are making noises,8,,
The door is making noise,8,,
The fan is making noise,8,,
The door lock is not working ,8,,
I am not able to close he doors of washroom,8,,
The lock of washroom is not working,8,,
The air conditioner is not working properly ,8,,
The lock of bathroom is not working,8,,
Floor is not clean,8,,
Towels are not hygenic,8,,
The A/C needs servicing,8,,
The air conditioner is not clean,8,,
The food is not hygenic,8,,
Towels are dirty,8,,
Washroom taps are not working,8,,
Bathroom taps are not working,8,,
There is a lot of noise from other rooms,8,,
Fans is making a lot of noise,8,,
Regulator of fan is not working,8,,
Hola,1,,
How was your day,1,,
What are special dishes of this restaurant,3,,
What are your specialities,3,,
I want to order something special,3,,
Suggest me some special food ,3,,
Give me some specialties of this place,3,,
What are exotic dishes of this place,3,,
What is the best food available,3,,
What is the best food i can order,3,,
I want an extra key for my door,9,,
I want to switch to an air conitioned room,9,,
My fridge is not working,8,,
My fridge is not cooling properly,8,,
I need an electric kettle,9,,
I need a hair dryer,9,,
I want a vaccum cleaner,9,,
I need some extra sugars,9,,
I need some extra milk packets,9,,
I need some extra tea bags,9,,
Hi,,,1
 Hello,,,1
How are you ?,,,1
Is everything fine?,,,1
Good Morning,,,1
Good Afternoon,,,1
have a pleasant day,,,1
Yo!,,,1
Hey,,,1
what's up,,,1
Pleasure to be here,,,1
what's going on.. ,,,1
i want to have baby corn chilly,,,2
place order for chilly gobi,,,2
can i have mushroom 65,,,2
can i have chicken 65,,,2
Place order for meghana chicken,,,2
 Can I have meghana chicken 555,,,2
place order for chicken lollypop,,,2
 place order for chicken kabab,,,2
can i have chicken pakoda,,,2
i would like to have chicken fry,,,2
place order for chicken maharaja,,,2
i want to have pepper chicken,,,2
place order for mutton pepper fry,,,2
 i want to have chilly fish,,,2
i would like to have chilli prawans,,,2
i want to order boiled egg,,,2
order egg omlet for me,,,2
i want to have chilly egg,,,2
i would like to have egg bhurji,,,2
order phuka for me,,,2
it would be great to have butter phulka,,,2
order chapati for me,,,2
order veg kadai for me,,,2
order green peas curry for me,,,2
place order for aloo matar curry,,,2
order palak paneer curry for me,,,2
order paneer butter masala for me,,,2
order mushroom masala for me,,,2
order masala idli for me,,,2
place order for idli vada,,,2
place order for masala kadhi,,,2
order coffee for me,,,2
order lemon chicken for me,,,2
order sweet and sour chicken for me,,,2
place order for grilled chicken,,,2
Please order chicken butter masala,,,2
order rajma rice for me,,,2
i want butter milk,,,2
oder tomato egg curry for me,,,2
i want egg masala curry,,,2
i want mutton curry,,,2
order prawns curry for me,,,2
order chicken curry for me,,,2
i want chicken biryani,,,2
i want chicken boneless biryani,,,2
i want meghana special biryani,,,2
order mutton biryani for me,,,2
order fish biriyani for me,,,2
order egg biriyani for me,,,2
i want aloo dum biriyani,,,2
i want chicken fried rice,,,2
i want ghee rice,,,2
i want sof drink,,,2
i want curd rice,,,2
order fresh lime soda for me,,,2
order lassi for me,,,2
order fresh lime water for me,,,2
order plain rice for me,,,2
i want veg fried rice,,,2
i want curd rice,,,2
i want mineral water,,,2
i want biriyani rice,,,2
i want egg fried rice,,,2
i want paneer biriyani,,,2
i want aloo dum ,,,2
order appollo fish for me,,,2
oder today's andhara special,,,2
i want today's chinese special,,,2
i want dal fry,,,2
What special  dishes I can order,,,3
I want to order some of your special dish,,,3
i want to have malay,,,4
i want to have latvian,,,4
order sami for me,,,4
can i have russian ?,,,4
i would like to have romanian food as i am very fond of it,,,4
i want to order rajasthani food with extra spice ,,,4
i want to order spicy punjabi food,,,4
can i have some portuguese dishes ?,,,4
i want to order peruvian food,,,4
order typical pakistani food,,,4
order persian food for me,,,4
can you people place the order for pennsylvania dutch food ?,,,4
order peranakan food for me as soon as possible ,,,4
order parsi food for me ,,,4
i would like to have pashtun,,,4
order odia food with extra butter,,,4
can i have pashtun food ?,,,4
i would like to have maharashtrian food for me,,,4
order malay food for me,,,4
can i have malaysian chinese cuisene,,,4
"can i have malaysian indian cuisene , extra spicy",,,4
order a popular mexican dish for me,,,4
can i have mughal food,,,4
Can i check in before the scheduled time,,,5
I would have to check in early than decided,,,5
please allow me an early check in for my stay,,,5
can you arrange an early check in for me,,,5
can you please allow me to check in early,,,5
can you arrange an early check in for me,,,5
can you arrange early check in as i will arrive earlier than expected,,,5
can i check in early in the hotel?,,,5
is it possible to check in early?,,,5
can you people arrange early check in for me ?,,,5
can i check in early ?,,,5
i need to check in due to some reasons,,,5
"i will be arriving early, is it possible for me to check in early in the hotel?",,,5
I would like to request for an later checkout due to some reasons.,,,6
Can i check out after the scheduled time,,,6
I would have to check out later than decided,,,6
please allow me an delayed check out for my stay,,,6
can you arrange a later check out for me,,,6
i would like to have a longer stay,,,6
Is it possible to increase my stay here?,,,6
I wish to stay here for longer,,,6
I want to increase my stay here,,,6
can i shift my check out time later than expected date,,,6
i would like to have longer stay as my flight has been cancelled,,,6
i would check out late from hotel ,,,6
is it possible to increase my dutration of stay in hotel ?,,,6
can you please shift my check out period further late,,,6
"my train has been cancelled, so i will stay one more day in hotel",,,6
can you recommend me some good food,,,7
Recommend me your special dishes,,,7
ac is not working,,,8
fan is not working,,,8
carpet is dirty,,,8
pillow cover is dirty,,,8
fridge is not working,,,8
less number of pillows,,,8
door bell is not functional,,,8
blanket is dirty ,,,8
bathroom is dirty,,,8
tap is not working properly,,,8
room is not clean,,,8
light is not working properly,,,8
sofa cover is dirty,,,8
tv of hotel is not working,,,8
rooms are not cleaned,,,8
there is not proper ventilation in the rooms,,,8
door lock of the room is out of order,,,8
curtions are dirty,,,8
switches are loose,,,8
there is not proper ventilation in the bathrooms,,,8
washrooms does not smell good,,,8
ac is out of order,,,8
room does not smell good,,,8
flush is not working properly,,,8
can you people send the person responsible for cleaning of my room,,,8
door mates are not  clean,,,8
door mates are not present ,,,8
charing point is not working,,,8
fans are not working ,,,8
fans are dirty,,,8
shower is not working as it should work,,,8
can i have extra pillows as it will be comfortable for me,,,8
ac is not cleaned properly,,,8
ac is leaking water,,,8
fan is making noise,,,8
ac is not cooling properly,,,8
hot water is not available,,,8
please send someone to clean the room,,,8
room service is not as per our expectations,,,8
room service is not good,,,8
please send the plumber to fix the issue of tap in washroom,,,8
floor of the room is not clean,,,8
tv is not functional of my bedroom,,,8
there is a issue with the remote of ac as it is not working properly,,,8
i wnat more number of pillows,,,9
can i get another key of my hotel room as i have lost it during travelling,,,9
i need extra pillow,,,9
air conditiner is not working,,,8
bring me something in japanese,,,4
bring some north indian food for me ,,,4
make food more spicy,,,4
i want to eat some punjabi food,,,4
i need vaccum cleaner as room is too dirty,,,4
what is the best food of your restruant,,,3
change the bucket that are in my washroom,,,8
would i have to pay some extra amount if i check in early in the hotel,,,5
if i check out late will i have to pay extra for few hours also,,,6
i need hot water,,,8
i need room freshner,,,8
what should i have in desert,,,7
i might if not able to check out in time as i have some work left in this town,,,6
i want some peaceful paintings on the wall of my room,,,9
there should some interesting book in my room before i arrive,,,9
"the pressure of waterflow in the washroom is low, so fix it as soon as possible",,,8
how are you,1,,
hello ,1,,
hey,1,,
good morning,1,,
good afternoon,1,,
good evening,1,,
"hey, i would like to order some food",1,,
yo,1,,
"hey,i am very hungry.please bring some food.",1,,
"hey,can you arrange lunch now?",1,,
"hey,we would wish to eat dinner.",1,,
i want to start ordering food.,1,,
hello i need to order food.where is the menu?,1,,
helloooo,1,,
heyyyyyyy,1,,
"hey, i am hungry",1,,
i am hungry,1,,
would you be able to make me someting to eat. i am eager!,1,,
hey darling,1,,
hello sona,1,,
what is your name?,1,,
"yo, how are you?",1,,
"hey, i just checked in",1,,
"yo, i just came.",1,,
"just reached, can you guide me",1,,
can you guide me through check in procedure,1,,
1 plate butter chicken 2 tandoori naan,2,,
please order a plate biriyani,2,,
want some raita,2,,
want to eat chicken tikka,2,,
can you serve chicken biriyani,2,,
is hyderabadi paneer available?,2,,
order chilli paneer for me,2,,
butter milk,2,,
palak paneer curry,2,,
get me some hot soup,2,,
I hope you serve paneer tikka,2,,
need a cold drink,2,,
i would like to have a cold drink,2,,
fish curry with ghee rice,2,,
mutton curry and butter phulka,2,,
mutton curry and jeera rice,2,,
"mutton curry, butter naan and place rice",2,,
order chicken curry and ghee rice for me,2,,
i want butter roti,2,,
i hope you can get me some naan,2,,
i want garlic naan along with butter chicken,2,,
want 3 garlic naan and 2 plate chicken hyderabadi,2,,
need a bottle of mineral water,2,,
in need of a water,2,,
do you have barbeque chicken,2,,
get me dal chawal with proper cutlery,2,,
do you serve smoked chicken,2,,
want chicken tikka extra spicy,2,,
i would like to have spicy paneer tikka masala,2,,
what is the speciality of this place,3,,
whats the best food here,3,,
chef's special,3,,
which is the top most dish in this menu?,3,,
which is the high most dish during this menu?,3,,
can you give me the most loved dish of this hotel?,3,,
would you be able to reveal to me the best food served by hotel?,3,,
get me the best food,3,,
what is the most common dish of this place,3,,
recommend me some chinese food,4,,
want to eat south indian today,4,,
suggest me some north indian food,4,,
suggest some sweets,4,,
suggest something sweet,4,,
i would like to have rajasthani food,4,,
i would like to have mughlai food,4,,
i would like to have chinese food,4,,
order bengali food for me,4,,
order punjabi food for me,4,,
does the hotel give chinese food?,4,,
does the hotel have punjabi food?,4,,
order chinese,4,,
order punjabi,4,,
get me something chinese,4,,
get me something mughlai,4,,
i want you to bring european food for me,4,,
i will arrive 2 hours prior to my reservation,5,,
want to reschedule my arrival,5,,
change arrival timings,5,,
will come 2 hours before the reservation time,5,,
i will arrive at 9,5,,
i will arrive early,5,,
i might be early,5,,
"i have arrived early, arrange something for me",5,,
i have to stay a day extra,6,,
kindly postpone my checkout,6,,
extend my stay in the hotel,6,,
i want to stay for a longer time,6,,
"i have some work, can i stay a little longer?",6,,
i will leave late,6,,
check if i can stay a bit longer,6,,
I might not be able to check out on time,6,,
may departure might get postponed,6,,
i might be late,6,,
"i will depart late, arrange something for me",6,,
i will leave a little late,6,,
what kinds of rice is served?,7,,
suggest some spicy food,7,,
what kind of biriyani do you serve?,7,,
please recommend something with biriyani,7,,
what goes best with chicken tikka,7,,
suggest something which goes along with paneer tikka,7,,
suggest some starters,7,,
suggest me some beverages,7,,
and what do you generally offer in naan?,7,,
suggest a soft drink,7,,
what do people eat with kadai paneer,7,,
does the hotel provide sweet food?,7,,
can you suggest something light,7,,
suggest something with rajma,7,,
suggest roti,7,,
recommend me something with mutton curry,7,,
recommend me something with fish curry,7,,
recommend me something with chicken curry,7,,
What should I have in sweets,7,,
will naan go good with paneer 65,7,,
what do people generally take with fish,7,,
Should I take something else with egg curry for flavour? ,7,,
recommend what goes best with paneer tikka masala and roti,7,,
what people generally eat with chicken biriyani,7,,
what people generally drink with chicken biriyani,7,,
bed is untidy,8,,
windows are not closing,8,,
a/c is not working,8,,
air conditioner is not working,8,,
ac is not working,8,,
